# Portfolio Backtesting CSV Output
# Generated by PortfolioManager for user 9999
# Columns:
#   timestamp: ISO 8601 timestamp (YYYY-MM-DDTHH:MM:SS.nnnnnnnnnZ)
#   position: Net position (positive=long, negative=short, 0=flat)
#   current_price: Latest market price in dollars (converted from ticks)
#   cost: Cost basis per unit in dollars
#   unrealized_pnl: Mark-to-market P&L for current position in dollars
#   realized_pnl: Cumulative realized P&L from closed trades in dollars
#   total_pnl: Total P&L (realized + unrealized) in dollars
#   total_trades: Number of trade executions involving tracked orders
#   position_value: Current market value of position in dollars

timestamp,position,current_price,average_cost,unrealized_pnl,realized_pnl,total_pnl,total_trades,position_value
1970-01-01T04:54:51.433479641Z,1,5558.50,5558.50,0.00,0.00,0.00,1,5558.50,
1970-01-01T04:54:51.433497861Z,2,5558.50,5558.50,0.00,0.00,0.00,2,11117.00,
1970-01-01T04:54:51.435084769Z,3,5558.75,5558.58,0.50,0.00,0.50,3,16676.25,
1970-01-01T04:54:51.435816640Z,4,5558.50,5558.56,-0.25,0.00,-0.25,4,22234.00,
1970-01-01T04:54:51.436283245Z,5,5558.50,5558.55,-0.25,0.00,-0.25,5,27792.50,
1970-01-01T04:54:51.437349544Z,6,5558.50,5558.54,-0.25,0.00,-0.25,6,33351.00,
1970-01-01T04:54:51.437998285Z,7,5558.50,5558.54,-0.25,0.00,-0.25,7,38909.50,
1970-01-01T04:54:51.438768566Z,8,5558.50,5558.53,-0.25,0.00,-0.25,8,44468.00,
1970-01-01T04:54:51.439554640Z,9,5558.25,5558.50,-2.25,0.00,-2.25,9,50024.25,
1970-01-01T04:54:51.441114231Z,10,5558.25,5558.48,-2.25,0.00,-2.25,10,55582.50,
1970-01-01T04:54:51.442939565Z,11,5558.25,5558.45,-2.25,0.00,-2.25,11,61140.75,
1970-01-01T04:54:51.446153201Z,12,5558.25,5558.44,-2.25,0.00,-2.25,12,66699.00,
1970-01-01T04:54:51.447093353Z,13,5558.00,5558.40,-5.25,0.00,-5.25,13,72254.00,
1970-01-01T04:54:51.447452211Z,14,5558.00,5558.38,-5.25,0.00,-5.25,14,77812.00,
1970-01-01T04:54:51.448671202Z,15,5558.00,5558.35,-5.25,0.00,-5.25,15,83370.00,
1970-01-01T04:54:51.449282020Z,16,5558.00,5558.33,-5.25,0.00,-5.25,16,88928.00,
1970-01-01T04:54:51.450189684Z,15,5557.75,5558.33,-8.67,-0.58,-9.25,17,83366.25,
1970-01-01T04:54:51.460937203Z,14,5558.00,5558.33,-4.59,-0.91,-5.50,18,77812.00,
1970-01-01T04:54:51.462816250Z,15,5558.50,5558.34,2.41,-0.91,1.50,19,83377.50,
1970-01-01T04:54:51.465250554Z,14,5558.25,5558.34,-1.25,-1.00,-2.25,20,77815.50,
1970-01-01T04:54:51.471289536Z,15,5558.75,5558.37,5.75,-1.00,4.75,21,83381.25,
1970-01-01T04:54:51.472461604Z,16,5558.75,5558.39,5.75,-1.00,4.75,22,88940.00,
1970-01-01T04:54:51.473298377Z,17,5558.75,5558.41,5.75,-1.00,4.75,23,94498.75,
1970-01-01T04:54:51.478924095Z,18,5558.50,5558.42,1.50,-1.00,0.50,24,100053.00,
1970-01-01T04:54:51.479309336Z,19,5558.25,5558.41,-3.00,-1.00,-4.00,25,105606.75,
1970-01-01T04:54:51.479578020Z,20,5558.50,5558.41,1.75,-1.00,0.75,26,111170.00,
1970-01-01T04:54:51.481425910Z,21,5558.50,5558.42,1.75,-1.00,0.75,27,116728.50,
1970-01-01T04:54:51.481601715Z,20,5558.00,5558.42,-8.34,-1.41,-9.75,28,111160.00,
1970-01-01T04:54:51.484230941Z,21,5558.25,5558.41,-3.34,-1.41,-4.75,29,116723.25,
1970-01-01T04:54:51.484863186Z,22,5558.25,5558.40,-3.34,-1.41,-4.75,30,122281.50,
1970-01-01T04:54:51.486352497Z,23,5558.25,5558.40,-3.34,-1.41,-4.75,31,127839.75,
1970-01-01T04:54:51.486842917Z,24,5558.25,5558.39,-3.34,-1.41,-4.75,32,133398.00,
1970-01-01T04:54:51.487800951Z,25,5558.25,5558.38,-3.34,-1.41,-4.75,33,138956.25,
1970-01-01T04:54:51.491792514Z,24,5558.00,5558.38,-9.20,-1.80,-11.00,34,133392.00,
1970-01-01T04:54:51.493326990Z,25,5558.50,5558.39,2.80,-1.80,1.00,35,138962.50,
1970-01-01T04:54:51.500080856Z,26,5558.25,5558.38,-3.45,-1.80,-5.25,36,144514.50,
1970-01-01T04:54:51.500634933Z,27,5558.25,5558.38,-3.45,-1.80,-5.25,37,150072.75,
1970-01-01T04:54:51.506657357Z,28,5558.25,5558.37,-3.45,-1.80,-5.25,38,155631.00,
1970-01-01T04:54:51.506907191Z,27,5557.75,5558.37,-16.83,-2.42,-19.25,39,150059.25,
1970-01-01T04:54:51.507231119Z,28,5558.25,5558.37,-3.33,-2.42,-5.75,40,155631.00,
1970-01-01T04:54:51.514158367Z,29,5558.00,5558.36,-10.33,-2.42,-12.75,41,161182.00,
1970-01-01T04:54:51.521146644Z,30,5558.00,5558.34,-10.33,-2.42,-12.75,42,166740.00,
1970-01-01T04:54:51.523875495Z,29,5557.75,5558.34,-17.24,-3.01,-20.25,43,161174.75,
1970-01-01T04:54:51.525134757Z,30,5558.25,5558.34,-2.74,-3.01,-5.75,44,166747.50,
1970-01-01T04:54:51.526386131Z,31,5558.25,5558.34,-2.74,-3.01,-5.75,45,172305.75,
1970-01-01T04:54:51.532372341Z,32,5558.00,5558.33,-10.49,-3.01,-13.50,46,177856.00,
1970-01-01T04:54:51.538495237Z,33,5557.75,5558.31,-18.49,-3.01,-21.50,47,183405.75,
